ChEMBL,text,labels
CHEMBL4172767,CC(C)c1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
CHEMBL1765715,Cc1ccc(NC(=O)c2ccc(CCl)cc2)cc1Nc1nccc(-c2cccnc2)n1,1
CHEMBL2347721,CCNC(=O)Nc1nc2ccc(-c3ccncc3OC)cc2s1,1
CHEMBL2347718,CCNC(=O)Nc1nc2ccc(-c3ccc(OC)cc3)cc2s1,1
CHEMBL2347717,CCNC(=O)Nc1nc2ccc(-c3ccncc3)cc2s1,1
CHEMBL272999,O=C(Nc1nnc(SCc2cccc(Cl)c2)s1)c1ccc(Cl)cc1,1
CHEMBL3393071,CC(C)Sc1nc(Nc2cccc(O)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,1
CHEMBL3394091,Oc1cccc(Nc2nc(SC3CCCC3)nc3c2cnn3CC(Cl)c2ccccc2)c1,1
CHEMBL248392,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCOCC1,1
CHEMBL248391,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCc1cccnc1,1
CHEMBL3685156,Cc1ncc(CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL517204,O=C(Nc1ncc(Cc2ccccc2Cl)s1)c1cccs1,1
CHEMBL2419762,Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1,1
CHEMBL454358,Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N3CCOCC3)nc21,1
CHEMBL510891,CP(C)(=O)c1ccc(Nc2ncnc3c2ncn3/C=C/c2ccccc2Cl)cc1,1
CHEMBL454611,Cc1cccc(Cl)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)ncnc21,1
CHEMBL528330,CCCP(=O)(CCC)c1ccc(Nc2nc(C(C)C)nc3c2ncn3/C=C/c2c(C)cccc2C)cc1,1
CHEMBL312214,CCCNc1nc(SC)nc2c1cnn2CC(Cl)c1ccccc1,1
CHEMBL211154,c1coc(CNc2ccc3[nH]nc(-c4nc5cc(N6CCC(N7CCCCC7)CC6)ccc5[nH]4)c3c2)c1,1
CHEMBL120319,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,1
CHEMBL2324928,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,1
CHEMBL270454,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1Cl,1
CHEMBL2316581,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ncnn2c1,1
CHEMBL2022856,C[C@@H](O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,1
CHEMBL3689607,Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3(F)F)ncc2c1,1
CHEMBL2397815,COc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1,1
CHEMBL2397806,Clc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)cc1,1
CHEMBL1311135,O=C1NC(=O)C(c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)N1,1
CHEMBL120979,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,1
CHEMBL3689582,Cc1ccc(C(=O)NC2CCOCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3689681,CCc1nc2cc(NC(=O)C3CC3)ncc2cc1-c1ccccc1Cl,1
CHEMBL2347750,CCNC(=O)Nc1nc2ccc(-c3ccncc3C)cc2[nH]1,1
CHEMBL406658,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Cl)cc2)cc1,1
CHEMBL2177642,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ccc3c2)nn1,1
CHEMBL4450810,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(-c6ccccc6)c5)c4F)nn3)cc12,1
CHEMBL4108670,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2C[C@H](O)[C@@H](CO)C2)c(-c2cncs2)c1,1
CHEMBL3936467,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(O)c(-c2cncnc2)c1,1
CHEMBL404666,CC(C)(C)N1CN(c2ccc(Cl)cc2)C(N)=C2C=NN=C21,1
CHEMBL3685074,Cc1ncncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL4115154,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncnc2)c1,1
CHEMBL2178273,Cc1ccc(C(=O)Nc2cc(-n3cncn3)cc(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,1
CHEMBL3974522,Cn1cc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)ccc2F)cn1,1
CHEMBL3689565,Cc1ccc(NC(=O)C2COCCO2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3690079,Cc1ccc(NC(=O)c2ccc3c(c2)CCC3N2CCN(C)CC2)cc1Nc1nccc(-c2cncnc2)n1,1
